qc_id,id,dto,productor,icon_url
"0",,,,./0.png
"1",,SONSONATE,"39",./0.png
"2",,SONSONATE,"25",./0.png
"3",,SONSONATE,"27",./0.png
"4",,SONSONATE,"12",./0.png
"5",,SONSONATE,"11",./0.png
"6",,SONSONATE,"2",./0.png
"7",,LA_LIBERTAD,"30",./0.png
"8",,LA_LIBERTAD,"5",./0.png
"9",,LA_LIBERTAD,"3",./0.png
"10",,LA_LIBERTAD,"4",./0.png
"11",,SANTA_ANA,"35",./0.png
"12",,LA_LIBERTAD,"38",./0.png
"13",,CHALATENANGO,"28",./0.png
"14",,CHALATENANGO,"29",./0.png
"15",,CUSCATLAN,"34",./0.png
"16",,CUSCATLAN,"17",./0.png
"17",,LA_PAZ,"8",./0.png
"18",,LA_PAZ,"33",./0.png
"19",,LA_PAZ,"31",./0.png
"20",,LA_PAZ,"36",./0.png
"21",,USULUTAN,"10",./0.png
"22",,USULUTAN,"32",./0.png
"23",,USULUTAN,"7",./0.png
"24",,USULUTAN,"32",./0.png
"25",,USULUTAN,"14",./0.png
"26",,USULUTAN,"6",./0.png
"27",,USULUTAN,"16",./0.png
"28",,USULUTAN,"37",./0.png
"29",,SAN_MIGUEL,"8",./0.png
"30",,SAN_MIGUEL,"20",./0.png
"31",,SAN_MIGUEL,"19",./0.png
"32",,SAN_MIGUEL,"21",./0.png
"33",,MORAZAN,"22",./0.png
"34",,MORAZAN,"23",./0.png
"35",,MORAZAN,"24",./0.png
